objID,ra,dec,mjd,psfMag_u,psfMagErr_u,psfMag_g,psfMagErr_g,psfMag_r,psfMagErr_r,psfMag_i,psfMagErr_i,psfMag_z,psfMagErr_z,Num
1237663784745631760,25.9202281951557,0.507798076894986,52963,18.3674,0.01595183,17.08084,0.01719412,17.07639,0.01282596,17.06608,0.01733781,17.07795,0.01661954,1217801.0
1237663784745631759,25.9202370541262,0.507801023267742,52963,18.36588,0.01593411,17.08091,0.01720844,17.0761,0.01282555,17.06597,0.01733738,17.07499,0.01660284,1217801.0
1237663892104019996,25.9202386612794,0.507799630871846,52971,18.39346,0.02248395,17.17728,0.01631428,17.06962,0.01829038,17.02398,0.01131162,17.03155,0.01789105,1217801.0
1237663892104019995,25.9202416412314,0.507797514911812,52971,18.39378,0.02248297,17.17716,0.01631388,17.06961,0.01829007,17.02421,0.01131113,17.03042,0.01788189,1217801.0
1237667130509754398,25.9202353353533,0.507792015844422,53351,18.25682,0.01996075,17.0309,0.02247619,16.94363,0.02008625,16.92775,0.01977711,16.92272,0.01913807,1217801.0
1237667130509754397,25.9202405309286,0.50778882697496,53351,18.2571,0.01995801,17.03051,0.0224759,16.94374,0.02008609,16.92776,0.01977675,16.92173,0.01987763,1217801.0
1237676326039584827,25.9202557042777,0.507799526539053,54424,18.59584,0.02926724,17.38839,0.01457489,17.2185,0.0113824,17.18402,0.01996405,17.12942,0.02647118,1217801.0
1237676326039584828,25.9202381260217,0.507796482706782,54424,18.59295,0.02922674,17.38709,0.01457388,17.2178,0.0113821,17.18364,0.01996435,17.12926,0.02647425,1217801.0
1237676326039650366,25.9202356566439,0.507797760530436,54424,18.60953,0.03209172,17.36391,0.02227105,17.20717,0.01379638,17.18641,0.01913206,17.15232,0.01905126,1217801.0
1237676326039650365,25.9202527176456,0.507801686065423,54424,18.60975,0.03207925,17.36311,0.02227009,17.20653,0.01379539,17.18661,0.01913154,17.15024,0.01903606,1217801.0
1237653011911933979,28.1050637874768,-0.286829615331146,51819,16.97473,0.01943858,15.818,0.01945304,15.61301,0.01556446,15.58116,0.0154534,15.52349,0.01831719,1223933.0
1237653011911933978,28.1050637708566,-0.286829615129792,51819,16.97455,0.01943006,15.81793,0.01943845,15.61299,0.01554344,15.58108,0.01541864,15.52351,0.0183103,1223933.0
